,,sex,age,number of follower,number of post,댓글수,like_average,youtube,타 플랫폼 여부,adposting/2021posting,number_posting_month,number_ad_posing_month,ad_posting_length,ad_posting_tag_number,동일 광고 여부,광고 게시글의 # of likes / # of followers,광고 게시글의 # of cmmnts / # of followers,비광고 게시글의 # of likes / # of followers,비광고 게시글의 # of cmmnts / # of followers,논란 여부,Comment Repeat Proportion,Re_cmt_post,Re_cmt_num,cluster
49,suesasha,여자,30 대,138000,882,53.36363636,17913.16667,1,0,0.162601626,38,10,171.5,3.9,1,0.046066604,6.61E-05,0.052397615,6.16E-05,0,7.94165316,0.057142857,0.006441224,4
50,shawn_issure,남자,30 대,99600,1226,78,4284,1,0,0.184615385,44,13,370.6923077,9.538461538,1,0.061020366,0.000116813,0.052548367,0.000111176,0,9.757575758,0.285714286,0.023809524,4
51,leojmakeup,남자,20 대,168000,1505,98.14285714,6870,0,0,0.068181818,32,4,255,3.75,1,0.031472099,7.16E-05,0.035597476,7.00E-05,0,6.119521912,0,0,4
52,aura_m_kr,남자,20 대,74200,332,24.5,980.8,1,1,0.210526316,14,3,244.3333333,6.333333333,1,0.010518779,0.00015398,0.012816165,0.000144741,0,6.98488121,0.142857143,0.012674271,4
53,bang.xx,남자,30 대,164000,429,133,5823.5,0,0,0.057142857,17,1,70,3,0,0.030301483,6.68E-05,0.032492018,6.81E-05,0,4.795389049,0.014285714,0.001272265,4
54,a_arum2_,여자,20 대,96100,130,154.1666667,2229.714286,0,0,0.875,2,1,341,22,0,0.017519335,8.12E-05,0.014862937,8.44E-05,0,0,0,0,4
55,happy_chul,남자,30 대,144000,542,87.57142857,4935,0,0,0.111111111,20,3,165.3333333,13.66666667,0,0.033520694,8.34E-05,0.040873057,7.96E-05,0,5.262180974,0.214285714,0.017857143,4
56,byul__xx,여자,30 대,128000,3460,29.16666667,1422.142857,0,0,0.511811024,50,34,413.2352941,12.11764706,1,0.009341073,8.16E-05,0.010186959,8.37E-05,0,7.232142857,0.871428571,0.077608142,2
57,baek_g_hyun,여자,20 대,38200,867,15.16666667,1693.333333,1,0,0.033898305,22,0,0,0,0,0.018501557,5.23E-05,0.027658563,0.000180458,0,5.833333333,0.028571429,0.003891051,4
58,tangerineshower,여자,20 대,43300,390,10.83333333,2732.285714,1,0,0.181818182,12,3,297.3333333,5.666666667,1,0.03208716,0.000148445,0.051781238,0.000198514,0,3.649122807,0.028571429,0.003603604,4
59,h___ryan,남자,20 대,59400,425,21.85714286,5542.5,1,0,0.158536585,41,8,258.875,5.375,0,0.028664582,0.000152151,0.058938904,0.0001702,0,8.4765625,0.685714286,0.060759494,1
60,delight_bombom,여자,20 대,22300,599,32.66666667,864.6666667,0,0,0.126315789,18,3,315.3333333,10.33333333,0,0.05114094,0.000525727,0.048209745,0.000494353,0,8.298325723,0.071428571,0.006393862,4
61,mjbypp,여자,20 대,52400,1969,12.16666667,1541.5,1,0,0.265486726,48,16,342.9375,4.25,1,0.040508438,0.000184399,0.03789132,0.000149768,0,11.76570458,0,0,4
62,jinaehan,여자,20 대,33700,3171,4.166666667,341.4545455,1,0,0.075757576,34,1,364,4,1,0.011254067,5.18E-05,0.008733774,9.79E-05,0,10.58447489,0,0,4
63,jasonlim.2020,남자,20 대,18000,286,46.5,636.78,0,1,0.08,17,1,513,13,1,0.036650764,0.000656459,0.03426317,0.000571526,0,4.439086294,0.357142857,0.030487805,4
64,yyemni,남자,30 대,42200,330,28.5,920.3333333,0,1,0.486486486,8,9,121.1111111,4.333333333,1,0.02242119,0.000269985,0.029199059,0.000273656,0,4.17704918,0.128571429,0.010804322,4
